leaf_id,node_id,depth,x1_k,x1_d,x2_k,x2_d,x3_k,x3_d,y1_k,y1_d,y2_k,y2_d,y3_k,y3_d,w0,w1,w2,w3,w4
189,390,16,0,3,1,2,4,3,1,2,1,3,0,3,1619269259800134,877791582013037,-373581417046973,4503599627370496,-463461039852554
190,391,16,0,3,1,2,4,3,1,2,1,3,1,3,1278690617995780,-740871784993950,2247622086221043,4503599627370496,-753450542871602
191,393,15,1,3,2,3,4,3,1,2,0,2,0,2,1656388616986942,-914494274854905,-763189634128047,4503599627370496,1241510457467743
192,395,16,1,3,3,3,4,3,1,2,0,3,0,2,1433063422814798,42808097199390,-2251799813685248,1331086452177759,2118220513889122
193,398,18,1,3,3,3,4,3,2,3,1,3,0,3,910911684128090,-1962855126059288,-4390932743892067,4503599627370496,584437506141733
194,399,18,1,3,3,3,4,3,3,3,1,3,0,3,-1263087876021384,-359453526586737,-3236919295394992,4503599627370496,1675662274647861
195,401,18,1,3,3,3,4,3,2,3,1,3,1,3,1066729541520887,-1306306030022804,-1800820721250252,2251799813685248,-525435280611554
196,402,18,1,3,3,3,4,3,3,3,1,3,1,3,-104602370561934,-599477116840624,-1479892395850580,4503599627370496,1048713668841815
197,403,13,0,2,1,2,5,3,1,2,0,2,0,2,1552738422565111,1060442252635431,-579726623543973,2251799813685248,-382898801471393
198,404,11,0,2,1,2,3,2,0,1,0,2,0,2,4130431917349206,4503599627370496,-2064085951040882,2392194018592179,-1897151123775357
199,409,14,0,2,1,2,4,3,0,2,1,2,0,3,3217841601656849,1915189415151739,-2736201471613536,3692700262427422,-4503599627370496
200,410,14,0,2,1,2,5,3,0,2,1,2,0,3,402006885671184,4503599627370496,-4407062812626368,3654779342531967,-1952357679710166
201,412,14,0,2,2,3,2,2,0,2,1,2,1,3,4503599627370496,2085096861003031,-1697697067824502,3043524315127538,-2451097756200575
202,414,15,0,2,3,3,4,3,0,2,1,2,1,3,2868736825643953,879886963737336,-1530778572051428,3442935133192996,-4503599627370496
203,415,15,0,2,3,3,5,3,0,2,1,2,1,3,927318333743083,1584414927063346,-1050987700448319,1878736661131093,-2251799813685248
204,417,13,0,2,1,2,2,2,1,2,1,2,0,3,431855753021440,1777575762498849,-2118277348480460,3860855169256218,-4503599627370496
205,419,14,0,2,1,2,4,3,1,2,1,2,1,3,225691507493271,-474558528418340,1217089985292904,4503599627370496,-3428982759260491
206,420,14,0,2,1,2,5,3,1,2,1,2,1,3,4068910967300259,3934520674206574,1733884123906855,3587980220509620,-4503599627370496
207,421,11,0,2,1,2,3,2,0,1,1,2,0,2,429383988569476,4503599627370496,-607740735094832,2532398830361914,-1348702923753307
208,425,12,1,2,1,2,2,2,0,2,0,2,0,2,2251799813685248,-112265953595153,-1490520840578944,-1607028184124635,-783400228209307
209,427,13,1,2,1,2,4,3,0,2,1,2,0,2,2260706000228218,327167125824193,-3266667445910164,634356301322457,-4503599627370496
